fid,class,natura_cod,status,area,region
78652,forest,,,573.226668,Harju
78675,forest,,,1309.94451,Harju
78677,forest,,,241.923279,Harju
78680,forest,,,9714.73961,Harju
78709,forest,,,79138.2512,Harju
78721,forest,,,2509.09752,Harju
78729,forest,,,5296.53032,Harju
78732,forest,,,10298.7748,Harju
78759,forest,,,0.62091078,Harju
78761,forest,,,1508.71034,Harju
78765,forest,,,28986.0128,Harju
78788,forest,,,27119.7696,Harju
78790,forest,,,923.384046,Harju
78810,forest,,,423.868029,Harju
78848,forest,,,637.770066,Harju
78925,forest,,,471547.334,Harju
78982,forest,,,15219.8304,Harju
78988,forest,,,80.5715979,Harju
78996,forest,,,10772.2267,Harju
79013,forest,,,1750.75702,Harju
79039,forest,,,4504.61936,Harju
79056,forest,,,717.20824,Harju
79115,forest,,,222560.041,Harju
79116,forest,,,22618.9417,Harju
79137,forest,,,37.4796467,Harju
79155,forest,,,1504.62151,Harju
79202,forest,,,36305.205,Harju
79203,forest,,,12664.6705,Harju
79239,forest,,,841.271699,Harju
79270,forest,,,2598.82329,Harju
79274,forest,,,15309.7241,Harju
79311,forest,,,3702541.73,Harju
79336,forest,,,1033.01782,Harju
79405,forest,,,8228.93384,Harju
79477,forest,,,2587.91786,Harju
79527,forest,,,1205091.68,Harju
79666,forest,,,212.696476,Harju
79733,forest,,,58625.7282,Harju
79751,forest,,,70.1007521,Harju
79753,forest,,,2944.41758,Harju
79784,forest,,,1661074.11,Harju
79792,forest,,,2519.87477,Harju
79806,forest,,,48671.7,Harju
79814,forest,,,5418.26465,Harju
79816,forest,,,2331.69047,Harju
79822,forest,,,56717.3254,Harju
79825,forest,,,5383.68748,Harju
79827,forest,,,2349.27329,Harju
79830,forest,,,582066.824,Harju
79832,forest,,,30494.5272,Harju
79852,forest,,,1548151.54,Harju
79861,forest,,,237.052449,Harju
79867,forest,,,53.904355,Harju
79868,forest,,,1166.87552,Harju
79879,forest,,,785.383707,Harju
79887,forest,,,1.50379013,Harju
79891,forest,,,81291.8489,Harju
79898,forest,,,78047.4652,Harju
79900,forest,,,4307.24481,Harju
79927,forest,,,84.700582,Harju
79959,forest,,,921.302142,Harju
79970,forest,,,2039.4245,Harju
79986,forest,,,26508.5466,Harju
80004,forest,,,5282.49743,Harju
80008,forest,,,2015.42716,Harju
80011,forest,,,392842.739,Harju
80017,forest,,,1982.92603,Harju
80022,forest,,,1393.22809,Harju
80033,forest,,,11241.7475,Harju
80034,forest,,,354542.592,Harju
80040,forest,,,16143.0524,Harju
80053,forest,,,28837.7216,Harju
80055,forest,,,2188.23027,Harju
80058,forest,,,3157.88367,Harju
80068,forest,,,10893.0115,Harju
80073,forest,,,16794.1942,Harju
80116,forest,,,4499.15494,Harju
80120,forest,,,4551.46723,Harju
80133,forest,,,13032.6177,Harju
80157,forest,,,4310.72483,Harju
80196,forest,,,3126.78565,Harju
80206,forest,,,5128.96141,Harju
80233,forest,,,1626.86315,Harju
80239,forest,,,1252.65258,Harju
80246,forest,,,700.669656,Harju
80285,forest,,,3521.13664,Harju
80294,forest,,,3745.75508,Harju
80301,forest,,,1737.76814,Harju
80303,forest,,,7620.06996,Harju
80307,forest,,,707.729565,Harju
80315,forest,,,70844.785,Harju
80317,forest,,,1155.8577,Harju
80322,forest,,,139.092943,Harju
80330,forest,,,39160.6435,Harju
80333,forest,,,4396.23611,Harju
80341,forest,,,32851.6181,Harju
80352,forest,,,10289.5076,Harju
80370,forest,,,521312.186,Harju
80371,forest,,,23670.5911,Harju
80373,forest,,,13128.4679,Harju
80386,forest,,,2360.61958,Harju
80391,forest,,,2376.04966,Harju
80396,forest,,,2962.20738,Harju
80411,forest,,,966.526454,Harju
80419,forest,,,1493.08179,Harju
80455,forest,,,3995.40451,Harju
80461,forest,,,512.575263,Harju
80476,forest,,,7629.36304,Harju
80483,forest,,,805.534342,Harju
80488,forest,,,2717.53769,Harju
80497,forest,,,3897.17148,Harju
80515,forest,,,340.621381,Harju
80521,forest,,,7940.44619,Harju
80543,forest,,,3341.84573,Harju
80578,forest,,,3521.68925,Harju
80596,forest,,,0.9229655,Harju
80614,forest,,,17951.2096,Harju
80624,forest,,,945.693716,Harju
80635,forest,,,1718.41288,Harju
80667,forest,,,2651.43336,Harju
80684,forest,,,7338.53328,Harju
80689,forest,,,7798.94074,Harju
80693,forest,,,2654.80907,Harju
80694,forest,,,1799.96113,Harju
80705,forest,,,2.88676762,Harju
80718,forest,,,41.5189816,Harju
80762,forest,,,5937.04611,Harju
80775,forest,,,207.760828,Harju
80789,forest,,,521.340153,Harju
80797,forest,,,62330.8722,Harju
80799,forest,,,1625.09786,Harju
80813,forest,,,5730.245,Harju
80822,forest,,,915.085446,Harju
80858,forest,,,1760.56781,Harju
80881,forest,,,40320.6884,Harju
80901,forest,,,4261.9927,Harju
80909,forest,,,2158.99947,Harju
80913,forest,,,1086.60231,Harju
