fid,class,natura_cod,status,area,region
91777,natura2000,6410,III,23612.6667,Harju
91778,natura2000,6410,III,48266.8758,Harju
91852,natura2000,6280*,III,79.3554221,Harju
91858,natura2000,6280*,III,86998.3674,Harju
91864,natura2000,5130,III,3548.09299,Harju
91875,natura2000,6270*,III,2373.8749,Harju
91876,natura2000,6270*,III,713.209191,Harju
91877,natura2000,6270*,III,26.6362047,Harju
91878,natura2000,6270*,III,608.75231,Harju
91879,natura2000,6270*,III,7632.11915,Harju
91880,natura2000,6270*,III,104.068186,Harju
91881,natura2000,6270*,III,5.39333523,Harju
91882,natura2000,6270*,III,9.87987122,Harju
91883,natura2000,6270*,III,185.737762,Harju
91884,natura2000,6270*,III,250.535283,Harju
91885,natura2000,6270*,III,1139.53315,Harju
91886,natura2000,6270*,III,371.799694,Harju
91887,natura2000,6270*,III,300.894658,Harju
91888,natura2000,6270*,III,73.2272764,Harju
91892,natura2000,6280*,III,51651.5428,Harju
91893,natura2000,6280*,III,26.1239918,Harju
91894,natura2000,6280*,III,0.97010634,Harju
91927,natura2000,9080*,II,17963.9309,Harju
91929,natura2000,9080*,II,11829.5327,Harju
91934,natura2000,6280*,II,128.039167,Harju
91937,natura2000,2180,II,301290.548,Harju
91949,natura2000,3260,II,9605.1257,Harju
91955,natura2000,2180,I,193803.927,Harju
91964,natura2000,9180*,II,77.4282456,Harju
91979,natura2000,9010*,I,1904.77925,Harju
91980,natura2000,9010*,III,3384.19256,Harju
91981,natura2000,9010*,III,10656.0096,Harju
91982,natura2000,9010*,III,326.227432,Harju
92019,natura2000,3260,I,18988.5382,Harju
92022,natura2000,2180,III,10898.2982,Harju
92023,natura2000,2180,III,8401.67757,Harju
92024,natura2000,2180,III,2038.6262,Harju
92025,natura2000,9080*,III,18639.6968,Harju
92026,natura2000,9080*,III,10074.2112,Harju
92027,natura2000,9080*,III,3427.23316,Harju
92028,natura2000,9080*,III,31.305586,Harju
92029,natura2000,9080*,III,2.03871523,Harju
92030,natura2000,9080*,III,1665.86669,Harju
92031,natura2000,9010*,III,26429.4001,Harju
92032,natura2000,9010*,III,17681.3431,Harju
92033,natura2000,9010*,III,11365.9601,Harju
92034,natura2000,9010*,III,4690.06858,Harju
92035,natura2000,9010*,III,10365.8963,Harju
92036,natura2000,9010*,III,6795.72406,Harju
92037,natura2000,9010*,III,3415.39145,Harju
92038,natura2000,9010*,III,116758.512,Harju
92039,natura2000,9010*,III,38409.6222,Harju
92040,natura2000,9010*,III,30842.6451,Harju
92041,natura2000,9010*,III,23792.8856,Harju
92042,natura2000,9010*,III,20550.2654,Harju
92043,natura2000,9010*,III,11184.6404,Harju
92045,natura2000,9010*,III,8521.20904,Harju
92046,natura2000,9010*,III,4151.82484,Harju
92047,natura2000,9010*,III,3914.0042,Harju
92048,natura2000,9010*,III,3705.41903,Harju
92050,natura2000,9080*,III,46106.4612,Harju
92051,natura2000,9080*,III,17468.1524,Harju
92052,natura2000,9080*,III,6868.44837,Harju
92053,natura2000,9080*,III,5752.5893,Harju
92054,natura2000,9080*,III,3034.33696,Harju
92055,natura2000,9080*,III,3945.93818,Harju
92056,natura2000,9080*,III,1725.9738,Harju
92059,natura2000,9080*,III,12463.1349,Harju
92060,natura2000,9080*,III,10729.5183,Harju
92061,natura2000,9080*,III,14637.2232,Harju
92062,natura2000,9080*,III,6723.20749,Harju
92063,natura2000,9080*,III,4803.00996,Harju
92064,natura2000,9080*,III,1607.93531,Harju
92065,natura2000,9010*,III,38000.6788,Harju
92066,natura2000,9010*,III,16213.5745,Harju
92067,natura2000,9010*,III,12746.5599,Harju
92068,natura2000,9010*,III,9349.95246,Harju
92069,natura2000,9010*,III,8714.39407,Harju
92070,natura2000,9010*,III,8459.57972,Harju
92071,natura2000,9010*,III,8130.01804,Harju
92072,natura2000,9010*,III,5940.58504,Harju
92073,natura2000,9010*,III,3691.54046,Harju
92074,natura2000,9010*,III,75381.2706,Harju
92075,natura2000,9010*,III,43767.7148,Harju
92076,natura2000,9010*,III,21760.1147,Harju
92077,natura2000,9010*,III,20442.4461,Harju
92078,natura2000,9010*,III,16453.7556,Harju
92080,natura2000,9010*,III,4089.24128,Harju
92081,natura2000,9010*,III,26673.2305,Harju
92082,natura2000,9010*,III,17940.9284,Harju
92083,natura2000,9010*,III,15913.6658,Harju
92084,natura2000,9010*,III,15681.2815,Harju
92085,natura2000,9010*,III,11077.8889,Harju
92086,natura2000,9010*,III,2598.80767,Harju
92087,natura2000,9010*,III,39472.6805,Harju
92088,natura2000,9010*,III,30405.1248,Harju
92089,natura2000,9010*,III,18751.1242,Harju
92090,natura2000,9010*,III,16965.246,Harju
92091,natura2000,9010*,III,16791.2511,Harju
