fid,class,natura_cod,status,area,region
87434,perm,,,49.5227787,Harju
87435,perm,,,24.6952943,Harju
87436,perm,,,202.165044,Harju
87795,perm,,,192.452274,Harju
87859,perm,,,609.708331,Harju
89629,perm,,,64.418342,Harju
90200,perm,,,13.4231419,Harju
90422,perm,,,14.9704238,Harju
90604,perm,,,77.9796453,Harju
91652,natura2000,6510,I,1472.03475,Harju
91662,natura2000,1230,I,251.300094,Harju
91744,natura2000,9080*,I,2937.41024,Harju
91746,natura2000,6210*,II,0.44610685,Harju
91796,natura2000,6510,III,0.21712446,Harju
91807,natura2000,6280*,III,3.16760939,Harju
91808,natura2000,1630*,III,0.01169894,Harju
91809,natura2000,1630*,III,0.05089388,Harju
91822,natura2000,6280*,III,2.34563104,Harju
91858,natura2000,6280*,III,277.29522,Harju
91865,natura2000,5130,III,93.6016242,Harju
91892,natura2000,6280*,III,0.01402476,Harju
91931,natura2000,1230,III,1044.92927,Harju
91945,natura2000,2180,II,595.999455,Harju
91949,natura2000,3260,II,6032.60474,Harju
92046,natura2000,9010*,III,4842.14154,Harju
92054,natura2000,9080*,III,2281.83046,Harju
92195,natura2000,9010*,III,2574.16273,Harju
92230,natura2000,9010*,III,115.558309,Harju
92293,natura2000,6210*,II,31.4427482,Harju
92294,natura2000,6210*,II,6354.42004,Harju
92314,natura2000,1630*,I,1489.48697,Harju
92319,natura2000,2180,I,4344.52647,Harju
92321,natura2000,2180,I,2074.05668,Harju
92322,natura2000,1220,I,676.954557,Harju
92323,natura2000,1220,I,581.747231,Harju
92328,natura2000,1220,I,13688.8982,Harju
92329,natura2000,1220,I,841.481069,Harju
92333,natura2000,3260,II,1913.9084,Harju
92335,natura2000,3260,II,185.559289,Harju
92400,natura2000,6280*,II,213.669507,Harju
92406,natura2000,6280*,II,6297.9584,Harju
92416,natura2000,1230,I,9348.91979,Harju
92417,natura2000,1230,I,10654.6016,Harju
92440,natura2000,1630*,III,13750.0164,Harju
92441,natura2000,1630*,III,0.76463025,Harju
92442,natura2000,6210*,II,0.12358589,Harju
93244,natura2000,6280*,III,0.12441018,Harju
93290,natura2000,2130*,II,79767.4463,Harju
93295,natura2000,1230,III,593.359413,Harju
93314,natura2000,2180,III,0.00647641,Harju
93315,natura2000,2120,III,483.303447,Harju
93320,natura2000,9010*,III,7761.71695,Harju
93321,natura2000,9010*,III,7377.30963,Harju
93328,natura2000,1640,III,1843.1095,Harju
93329,natura2000,8210,III,392.249869,Harju
93330,natura2000,1640,II,253.067943,Harju
93337,natura2000,1640,II,8723.97246,Harju
93363,natura2000,6280*,III,2765.38006,Harju
93364,natura2000,9180*,III,953.874671,Harju
93808,natura2000,7230,II,40.3117432,Harju
93809,natura2000,9010*,III,16709.3328,Harju
95718,natura2000,1630*,I,2618.02022,Harju
95729,natura2000,6280*,I,678.777221,Harju
95731,natura2000,6280*,II,1.96902527,Harju
95732,natura2000,6280*,I,1.09901065,Harju
95733,natura2000,6280*,I,0.40843944,Harju
95743,natura2000,1230,I,1329.33655,Harju
95752,natura2000,1630*,III,8241.57675,Harju
95756,natura2000,5130,II,17104.2932,Harju
95758,natura2000,1220,I,19813.8646,Harju
95762,natura2000,6210*,II,6.58352113,Harju
95781,natura2000,1630*,III,0.87107935,Harju
95821,natura2000,1630*,III,2.75876205,Harju
95841,natura2000,6280*,I,35.1800671,Harju
95855,natura2000,6210*,II,0.93338202,Harju
95861,natura2000,1630*,III,0.12566396,Harju
95867,natura2000,6210*,II,0.54590463,Harju
95869,natura2000,1230,I,5571.63228,Harju
95870,natura2000,1210,I,835.230494,Harju
95876,natura2000,9020*,II,20699.6429,Harju
95879,natura2000,1630*,III,22356.2598,Harju
95880,natura2000,1630*,III,5858.28584,Harju
95881,natura2000,5130,II,508.927232,Harju
95882,natura2000,1210,I,2429.85114,Harju
95883,natura2000,6280*,II,145.164683,Harju
95885,natura2000,6280*,II,1928.18034,Harju
95886,natura2000,1210,I,857.703867,Harju
96348,natura2000,1220,II,360.459416,Harju
96349,natura2000,9010*,III,18.4278503,Harju
96392,natura2000,1630*,I,1.58596855,Harju
96393,natura2000,1220,II,659.858671,Harju
96395,natura2000,1640,III,4033.37974,Harju
96396,natura2000,2120,II,6551.66872,Harju
96401,natura2000,2120,I,2286.62631,Harju
96402,natura2000,2120,III,2620.52384,Harju
96403,natura2000,2120,III,5944.15769,Harju
96404,natura2000,2130*,II,1680.18126,Harju
96407,natura2000,2130*,I,5303.37683,Harju
96411,natura2000,2180,II,35302.8589,Harju
96422,natura2000,9010*,III,755.104284,Harju
96424,natura2000,2120,III,1240.9279,Harju
96429,natura2000,2180,II,14.9018963,Harju
96435,natura2000,2120,III,1102.17268,Harju
96436,natura2000,2120,II,681.50886,Harju
96444,natura2000,9080*,III,51.4835166,Harju
96934,natura2000,6280*,III,6.89187628,Harju
96954,natura2000,6280*,III,0.07413532,Harju
97223,natura2000,1210,II,1012.84168,Harju
97253,natura2000,9010*,II,127.708317,Harju
97255,natura2000,9010*,I,4400.76289,Harju
97257,natura2000,9010*,I,3469.50076,Harju
97281,natura2000,1640,II,230.590064,Harju
97285,natura2000,1640,I,9590.32704,Harju
97675,natura2000,7110,B,275.752577,Harju
97747,natura2000,9020,C,7.58741746,Harju
97749,natura2000,-,D,541.251388,Harju
97756,natura2000,"7110, 7120",C,4446.58295,Harju
97763,natura2000,-,D,0.43025777,Harju
98185,natura2000,1220,B,1267.9309,Harju
98192,natura2000,"9180, 8210",A,38.7217953,Harju
